row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;Calculos;
1;23;3;63;0;23;1;0;;0,988333333;0,011666667
2;33;0;52;4;37;0,891891892;0,108108108;;0,922756419;0,077243581
3;29;1;59;0;29;1;0;;0,990191388;0,009808612
1;28;1;60;0;28;1;0;;;
2;30;0;57;2;32;0,9375;0,0625;;;
3;29;1;59;0;29;1;0;;;
1;26;0;63;0;26;1;0;;;
2;39;0;50;0;39;1;0;;;
3;24;0;65;0;24;1;0;;;
1;20;1;67;1;21;0,952380952;0,047619048;;;
2;41;1;43;4;45;0,911111111;0,088888889;;;
3;23;3;63;0;23;1;0;;;
1;32;1;56;0;32;1;0;;;
2;34;0;51;4;38;0,894736842;0,105263158;;;
3;19;3;67;0;19;1;0;;;
1;29;2;57;1;30;0,966666667;0,033333333;;;
2;35;2;47;5;40;0,875;0,125;;;
3;18;3;67;1;19;0,947368421;0,052631579;;;
1;35;0;54;0;35;1;0;;;
2;31;0;56;2;33;0,939393939;0,060606061;;;
3;21;2;66;0;21;1;0;;;
1;27;0;61;1;28;0,964285714;0,035714286;;;
2;38;1;49;1;39;0,974358974;0,025641026;;;
3;21;2;65;1;22;0,954545455;0,045454545;;;
1;26;1;62;0;26;1;0;;;
2;39;0;47;3;42;0,928571429;0,071428571;;;
3;21;2;66;0;21;1;0;;;
1;33;1;55;0;33;1;0;;;
2;28;0;57;4;32;0,875;0,125;;;
3;24;3;62;0;24;1;0;;;
