row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;Calculos;
1;47;4;92;0;47;1;0;;0,952369607;0,047630393
2;52;0;87;4;56;0,928571429;0,071428571;;0,887673299;0,112326702
3;40;0;103;0;40;1;0;;0,950102175;0,049897825
1;48;13;82;0;48;1;0;;;
2;44;0;85;14;58;0,75862069;0,24137931;;;
3;36;2;104;1;37;0,972972973;0,027027027;;;
1;45;3;93;2;47;0,957446809;0,042553191;;;
2;54;2;83;4;58;0,931034483;0,068965517;;;
3;38;1;104;0;38;1;0;;;
1;48;2;91;2;50;0,96;0,04;;;
2;47;2;87;7;54;0,87037037;0,12962963;;;
3;39;5;99;0;39;1;0;;;
1;45;1;96;1;46;0,97826087;0,02173913;;;
2;59;1;82;1;60;0,983333333;0,016666667;;;
3;37;0;106;0;37;1;0;;;
1;44;3;93;3;47;0,936170213;0,063829787;;;
2;54;3;82;4;58;0,931034483;0,068965517;;;
3;38;1;104;0;38;1;0;;;
1;46;4;93;0;46;1;0;;;
2;49;2;86;6;55;0,890909091;0,109090909;;;
3;39;3;98;3;42;0,928571429;0,071428571;;;
1;38;6;87;12;50;0,76;0,24;;;
2;49;1;84;9;58;0,844827586;0,155172414;;;
3;34;15;93;1;35;0,971428571;0,028571429;;;
1;45;18;80;0;45;1;0;;;
2;44;0;86;13;57;0,771929825;0,228070175;;;
3;36;0;102;5;41;0,87804878;0,12195122;;;
1;41;2;97;3;44;0,931818182;0,068181818;;;
2;57;13;71;2;59;0,966101695;0,033898305;;;
3;30;0;103;10;40;0,75;0,25;;;
